d_opt,sigma_d,tissue,d,k_rel,loss
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,1e-06,3.0296984572238642e-06
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,1.4677992676220705e-06,4.052012207294411e-06
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,2.1544346900318822e-06,5.59251266657954e-06
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,3.162277660168379e-06,7.805468964100782e-06
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,4.641588833612782e-06,1.0785372332333079e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,6.8129206905796085e-06,1.4501420297369039e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,9.999999999999999e-06,1.87421763539614e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,1.4677992676220675e-05,2.309320857228163e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,2.1544346900318823e-05,2.6998464392421038e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,3.1622776601683795e-05,2.993286559901373e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,4.641588833612772e-05,3.160793034585153e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,6.812920690579608e-05,3.206501679090649e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.0001,3.1598315977211794e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.0001467799267622069,3.059020483334811e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.00021544346900318823,2.937415826310029e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.00031622776601683794,2.817593823910044e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.00046415888336127773,2.7115612565561196e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.0006812920690579609,2.6236651955446332e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.001,2.553646279812416e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.001467799267622069,2.4989270174406235e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.002154434690031882,2.4560213939404927e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.0031622776601683794,2.4213202437104467e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.004641588833612777,2.3915230905156907e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.006812920690579608,2.3638548685257534e-05
4e-08,1e-08,Transport-Resistant,4.2500000000000003e-08,0.01,2.336165848295032e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,1e-06,2.9017779571369312e-06
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,1.4677992676220705e-06,3.8868389014817536e-06
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,2.1544346900318822e-06,5.369288164429347e-06
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,3.162277660168379e-06,7.494064648287138e-06
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,4.641588833612782e-06,1.0347274335316546e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,6.8129206905796085e-06,1.3896240110564215e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,9.999999999999999e-06,1.7938912490158354e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,1.4677992676220675e-05,2.2081827404669414e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,2.1544346900318823e-05,2.5796115578298053e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,3.1622776601683795e-05,2.8581731428318425e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,4.641588833612772e-05,3.016464003198716e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,6.812920690579608e-05,3.058714181197798e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.0001,3.0134133424369453e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.0001467799267622069,2.9174627398785938e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.00021544346900318823,2.8029739356140156e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.00031622776601683794,2.6915350138281994e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.00046415888336127773,2.5944491642046546e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.0006812920690579609,2.515552205451397e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.001,2.454216187162697e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.001467799267622069,2.4075875583863445e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.002154434690031882,2.3719641087364057e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.0031622776601683794,2.3436078611604907e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.004641588833612777,2.3191620008188035e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.006812920690579608,2.2958817931000524e-05
4e-08,1e-08,Transport-Resistant,4.5000000000000006e-08,0.01,2.2717127658866015e-05
4e-08,1e-08,Transport-Resistant,4.75e-08,1e-06,2.754830777514444e-06
4e-08,1e-08,Transport-Resistant,4.75e-08,1.4677992676220705e-06,3.6982058063309283e-06
4e-08,1e-08,Transport-Resistant,4.75e-08,2.1544346900318822e-06,5.116979649742515e-06
4e-08,1e-08,Transport-Resistant,4.75e-08,3.162277660168379e-06,7.146516404119179e-06
4e-08,1e-08,Transport-Resistant,4.75e-08,4.641588833612782e-06,9.863292865412365e-06
